"Name","ManifestKey","SteamAppId","GogId","InstallDir","WindowsExe","Reason","SaveDir","Evidence","Notes"
"Catacomb Kids","Catacomb Kids","315840","","Catacomb Kids","CatacombKids.exe","no files section in manifest","","","sheet category: Permadeath roguelike/roguelite runs"
"Vagante","Vagante","323220","","vagante","vagante.exe","only config entries in manifest","","","sheet category: Permadeath roguelike/roguelite runs"
"UnReal World","UnReal World","351700","1425108206","UnRealWorld","urw.exe","no files section in manifest","","","sheet category: Hardcore one-life characters or worlds"
"A Total War Saga: THRONES OF BRITANNIA","Total War Saga: Thrones of Britannia","712100","","Total War Saga Thrones of Britannia","launcher/launcher.exe","no files section in manifest","","","sheet category: Ironman / single-save campaigns"
"Darkest Dungeon","Darkest Dungeon","262060","1450711444","DarkestDungeon","","no files section in manifest","","","sheet category: Permanent roster or asset loss"
"Watch Dogs: Legion","Watch Dogs: Legion","2239550","","WatchDogs_Legion","bin/WatchDogsLegion.exe","all save paths unsupported: <root>/savegames/<storeUserId>/3353; <root>/savegames/<storeUserId>/7017","","","sheet category: Permanent roster or asset loss"
"King of Dragon Pass","King of Dragon Pass","","1207659096","","","no files section in manifest","","","sheet category: Limited/coarse rollback systems"
"Six Ages 2: Lights Going Out",,"","","","","not in manifest","","","sheet category: Limited/coarse rollback systems"
"80 Days","80 Days","","","","","only config entries in manifest","","","sheet category: Committed narrative/autosave choices"
